followed,day,hour,username,re-tweeted,month,favorited,tweet,minute,second,year,microsecond
True,29,13,Sriracha_FG,True,12,False,"RT @Sriracha_FG: Fancy winning a selection of our #Sriracha sauce?

FOLLOW &amp; RT to enter our festive #Competition!

#FreebieFriday #Win htt…",19,48,2017,387892
False,29,13,Sriracha_FG,False,12,False,"RT @ATLHawks: #FreebieFriday: 2 lower level tickets to our game against the Blazers tomorrow, thanks to @budweiserusa! RETWEET to enter to…",19,59,2017,289820
True,29,13,beautiwithlexi,False,12,False,"RT @beautiwithlexi: RT TO WIN: Fenty Beauty Stunna Lip Paint

Must be following @beautiwithlexi to win ✨ https://t.co/frfRmv1VDc",22,20,2017,151387
False,29,13,beautiwithlexi,True,12,False,"RT @Patriots: Stay warm &amp; RT to enter to win a 2017 Throwback On Field Knit @NewEraCap!

#PatsHatFriday rules:  https://t.co/G27OoOUZQg htt…",22,30,2017,569793
True,29,13,TheeOnlyOciera,False,12,False,RT @TheeOnlyOciera: RT to win MAC’s Snow Ball Fix+ Kit &amp; Nicki Minaj x MAC The Pinkprint lipstick.💄 must be following me to be eligible. Wi…,25,2,2017,311691
True,29,13,jenchriistine,False,12,False,"RT @jenchriistine: RT to WIN: Unlocked iPhone 8, must be following me 💕 (repost bc typo)
extra entries if ya following my instagram https:/…",25,13,2017,585345
True,29,13,ReesesAndFitnes,False,12,False,"RT @ReesesAndFitnes: ❄ #COMPETITION TIME ❄

FLW/RT FOR the chance to #WIN this brilliant Cadbury’s selection 😍😍 Competition ends 8am 31.12.…",27,21,2017,229255
False,29,13,NOT_FOLLOWED,True,12,False,RT @BravesRetail: Thinking about your New Years resolution? RT for a chance to win this @UnderArmour women's gift set to kick-start your ne…,55,5,2017,487989
False,29,13,NOT_FOLLOWED,False,12,False,"RT @MLB: Its tabletop Pinball … and we’re giving away three!

RT for your chance to win. https://t.co/qIPzIgbapT",55,16,2017,259767
True,29,13,aniaaniapawlak,True,12,False,RT @aniaaniapawlak: Have you entered my Giveaway yet? Follow and Retweet to win! Winner announced on 3.01.2018! #bbloggers #beauty #win #Wi…,55,33,2017,31830
True,29,13,AMCTheatres,False,12,False,RT @AMCTheatres: FOLLOW &amp; RT for your chance to win a @StarWars: #TheLastJedi @IMAX poster signed by the cast &amp; director! Get tix &amp; experie…,55,44,2017,537610
